iter	Logloss
0	0.6490331487
1	0.6087816177
2	0.5732275725
3	0.5413090486
4	0.5119479544
5	0.4863011955
6	0.4632815611
7	0.4426382934
8	0.4241293421
9	0.4074778398
10	0.3918515659
11	0.3779264513
12	0.3653579459
13	0.3545816553
14	0.3443930636
15	0.334594574
16	0.325553229
17	0.3169251126
18	0.3090258452
19	0.3023304196
20	0.2957760425
21	0.2899989181
22	0.2845410608
23	0.2797704693
24	0.2755329119
25	0.2714309907
26	0.2675495814
27	0.2641903179
28	0.2609987041
29	0.2578887134
30	0.2548682185
31	0.2526035351
32	0.2502312632
33	0.2479688741
34	0.2459173938
35	0.2439748663
36	0.2423295024
37	0.2407022262
38	0.2390811393
39	0.2376746533
40	0.2364133906
41	0.2351604223
42	0.2341770707
43	0.2331647876
44	0.2320810397
45	0.231090987
46	0.2302168326
47	0.2292731791
48	0.2283575381
49	0.2276247638
50	0.2269294793
51	0.2261429287
52	0.2255680295
53	0.2247978272
54	0.2242627023
55	0.2236120494
56	0.2230923663
57	0.22253143
58	0.2219758704
59	0.2215047979
60	0.2210681743
61	0.2206595228
62	0.220273001
63	0.2197533253
64	0.2193585049
65	0.2190107392
66	0.2186517291
67	0.2182448459
68	0.2178718051
69	0.217291826
70	0.2169050972
71	0.2165852851
72	0.2162884877
73	0.2159681813
74	0.2156722039
75	0.2153611897
76	0.2150074883
77	0.2146026798
78	0.2142616734
79	0.21402203
80	0.2137194468
81	0.2134232944
82	0.2131192487
83	0.2128534896
84	0.2126034921
85	0.2123343718
86	0.2120864281
87	0.211858455
88	0.2116893514
89	0.211463603
90	0.2112303881
91	0.210985277
92	0.2108012987
93	0.2105772308
94	0.2103798808
95	0.2101505296
96	0.2099847213
97	0.2097935632
98	0.2096145172
99	0.2094194158
100	0.2092690647
101	0.2090735259
102	0.2088793626
103	0.2086494515
104	0.208482715
105	0.2083238715
106	0.2081433905
107	0.2079662042
108	0.2077993703
109	0.2076459124
110	0.2074928515
111	0.2073451838
112	0.207183064
113	0.2069420659
114	0.2068042772
115	0.2066438187
116	0.206506405
117	0.2063709847
118	0.206259213
119	0.2060697142
120	0.2059508753
121	0.2058057735
122	0.2054290212
123	0.2052883594
124	0.2051248651
125	0.2049942781
126	0.2048463716
127	0.2046257946
128	0.2045046782
129	0.204386897
130	0.2041884847
131	0.2040795367
132	0.2039686179
133	0.2038417678
134	0.2037324202
135	0.2036008611
136	0.2034254664
137	0.2033197936
138	0.2030963643
139	0.2029257933
140	0.2028218339
141	0.2027128273
142	0.2025960188
143	0.202507384
144	0.2023708976
145	0.2022784858
146	0.2021569006
147	0.2019772344
148	0.2018733656
149	0.201737622
150	0.2015854327
151	0.2014781407
152	0.2013424403
153	0.2012118463
154	0.2011136877
155	0.2010014722
156	0.2009061958
157	0.2008062782
158	0.2006350379
159	0.2005178609
160	0.2004072524
161	0.2003025958
162	0.2002135337
163	0.200138103
164	0.2000337631
165	0.1999574538
166	0.1998431915
167	0.1997342159
168	0.1996026005
169	0.199508971
170	0.1991266725
171	0.1990438815
172	0.1989638793
173	0.1988927343
174	0.1987885078
175	0.1986782894
176	0.1985933898
177	0.1983282422
178	0.1982076756
179	0.198123183
180	0.1980441107
181	0.1979410829
182	0.1978283738
183	0.1976975266
184	0.197614177
185	0.1974713035
186	0.1973668681
187	0.1972146955
188	0.1971221309
189	0.1970518148
190	0.1969371397
191	0.1968704505
192	0.1967772455
193	0.1966624902
194	0.1965447705
195	0.1964418032
196	0.1963602563
197	0.1962943912
198	0.1961865979
199	0.1961052274
200	0.1960442601
201	0.1958084615
202	0.1956991177
203	0.1955710936
204	0.1955070622
205	0.1954176737
206	0.1953358601
207	0.1952664631
208	0.1951699647
209	0.1950866518
210	0.1950163278
211	0.1949160238
212	0.1947985739
213	0.1946906595
214	0.1945165039
215	0.1944345203
216	0.1943608487
217	0.1943039365
218	0.194177879
219	0.1941061977
220	0.1940393471
221	0.1939729549
222	0.1938734656
223	0.193802472
224	0.1935280457
225	0.1933488123
226	0.1932432312
227	0.1931682967
228	0.1930980676
229	0.1930352402
230	0.1929481473
231	0.1928521948
232	0.1927721697
233	0.1926839183
234	0.1926299794
235	0.1925658887
236	0.1924926419
237	0.1924163207
238	0.1922765808
239	0.1921170883
240	0.1920497424
241	0.1919223395
242	0.1918542393
243	0.1917909062
244	0.1916834901
245	0.191597441
246	0.1915133588
247	0.1914419263
248	0.1912853375
249	0.1911292353
250	0.191066659
251	0.1909480305
252	0.1908479272
253	0.1907608105
254	0.1906550282
255	0.1904549826
256	0.1903318723
257	0.1902466468
258	0.190176331
259	0.1901080161
260	0.1900424876
261	0.189951033
262	0.1898834915
263	0.1898166608
264	0.1896704394
265	0.1895893277
266	0.1894717549
267	0.1894094264
268	0.1892484231
269	0.1891166391
270	0.189044153
271	0.1889078318
272	0.1887666687
273	0.1887060443
274	0.1886328897
275	0.1885682402
276	0.1884271655
277	0.188364516
278	0.1882737357
279	0.18815881
280	0.1880722021
281	0.1880086833
282	0.1879149814
283	0.1877773752
284	0.1877095683
285	0.1876440559
286	0.1875750977
287	0.1873057011
288	0.187237711
289	0.1871732846
290	0.1870955584
291	0.1869578839
292	0.1868405206
293	0.1867783028
294	0.1866765944
295	0.186601874
296	0.1865344652
297	0.1864587226
298	0.1863728454
299	0.1862843748
300	0.1862217006
301	0.1861573291
302	0.1860934666
303	0.1859978684
304	0.1859252256
305	0.1858597576
306	0.1855632826
307	0.1854980879
308	0.1854349919
309	0.1853688847
310	0.1853016556
311	0.1852390002
312	0.1851784123
313	0.1850492051
314	0.1849861445
315	0.1848329248
316	0.1847724428
317	0.1846558286
318	0.1845670703
319	0.1845080942
320	0.1844425805
321	0.184384298
322	0.1843272302
323	0.1841974368
324	0.1841334375
325	0.1839703319
326	0.1838483757
327	0.1837889434
328	0.1837131286
329	0.1836555009
330	0.1835557715
331	0.1834956302
332	0.1834440185
333	0.18338621
334	0.1833303888
